TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
g002178,29,여,20,6,1,1,3,12,,2,7,3,4,50,50130,50,50110,26,26500,1,1,1,3,3,2,6,6,광주광역시,전남,2인 여행(가족 외),2023-06-14~2023-06-15,1,3,9,1
g004485,30,남,40,7,5,1,2,2,,5,10,2,2,48,48840,48,48220,26,26500,1,1,3,6,4,2,7,7,대전광역시,전북,2인 여행(가족 외),2023-07-28~2023-07-29,1,2,3,1
g005167,11,남,20,6,1,1,3,1,,4,7,3,7,46,46710,45,45190,47,47170,2,3,1,4,6,3,1,7,서울특별시,전남,2인 여행(가족 외),2023-09-07~2023-09-09,7,5,1,1
g002887,28,여,30,5,1,2,2,3,,5,8,2,1,42,42150,42,42210,28,28710,2,2,3,2,3,5,2,6,인천광역시,대전,2인 여행(가족 외),2023-07-01~2023-07-02,2,1,3,1
g004189,41,남,20,6,1,1,4,4,,4,9,2,2,42,42150,50,50110,26,26350,2,1,2,4,6,5,6,5,경기도,충남,2인 여행(가족 외),2023-07-18~2023-07-19,2,3,1,1
g010617,43,여,20,4,1,1,2,12,,1,5,2,1,50,50110,30,30230,50,50130,3,2,5,3,2,5,5,2,충청북도,대전,3인 이상 여행(가족 외),2023-08-30~2023-08-30,3,1,7,4
g001011,41,여,50,5,1,2,4,4,,2,11,3,6,44,44770,42,42820,47,47280,2,4,7,4,4,1,1,5,경기도,충북,자녀 동반 여행,2023-06-04~2023-06-06,2,1,6,3
g005581,46,남,50,7,1,2,4,3,,5,6,2,3,50,50110,42,42770,46,46890,5,2,3,2,2,3,6,2,전라남도,전북,자녀 동반 여행,2023-08-19~2023-08-19,8,1,3,3
g007086,43,남,40,6,1,2,2,8,,6,8,3,2,50,50110,11,11680,46,46130,5,3,1,3,6,6,6,2,충청북도,전남,2인 가족 여행,2023-08-20~2023-08-21,3,7,1,1
g013093,11,남,60,7,1,2,2,9,,3,4,2,1,27,27140,42,42210,50,50130,7,4,6,4,6,5,6,6,서울특별시,충남,나홀로 여행,2023-09-28~2023-09-28,8,1,2,0
g002668,27,여,30,6,1,2,2,3,,5,9,3,3,50,50130,47,47110,42,42150,1,1,2,2,2,3,2,3,대구광역시,대전,2인 여행(가족 외),2023-06-16~2023-06-17,2,1,,1
g000842,27,여,40,6,1,2,4,2,,5,12,2,1,27,27230,47,47820,41,41670,1,1,1,4,7,7,1,7,대구광역시,충남,자녀 동반 여행,2023-05-27~2023-05-29,1,9,8,7
g003019,30,남,50,6,1,2,4,3,,6,7,3,4,46,46820,26,26290,44,44710,4,4,4,3,5,4,3,4,대전광역시,충북,자녀 동반 여행,2023-07-01~2023-07-01,2,1,3,9
g002538,11,남,30,6,4,1,3,9,,4,11,3,5,50,50110,42,42150,26,26710,5,5,5,2,3,5,6,3,서울특별시,충남,2인 여행(가족 외),2023-06-16~2023-06-17,2,1,8,1
g001028,41,남,20,5,1,2,3,3,,3,7,2,1,50,50130,44,44800,46,46130,4,1,1,2,7,3,1,4,경기도,충북,자녀 동반 여행,2023-05-27~2023-05-29,1,3,8,2
g009482,46,남,20,6,2,1,4,12,,1,7,2,1,50,50110,46,46150,46,46130,3,3,2,3,2,6,2,6,전라남도,광주,2인 여행(가족 외),2023-09-03~2023-09-03,7,1,3,1
g005330,11,남,20,6,2,1,1,12,,2,,2,1,42,42210,41,41820,47,47130,2,2,3,1,1,7,1,6,서울특별시,전남,2인 여행(가족 외),2023-08-20~2023-08-21,3,1,2,1
g002154,30,남,50,5,1,2,2,4,,4,6,2,1,44,44230,44,44210,30,30170,2,4,3,4,2,3,2,6,대전광역시,충남,2인 여행(가족 외),2023-07-01~2023-07-02,5,3,2,1
g006231,41,남,20,6,2,1,1,12,,1,,3,3,50,50110,42,42150,26,26350,5,3,5,3,3,5,5,4,경기도,대전,2인 여행(가족 외),2023-08-14~2023-08-14,7,3,2,1
g007196,41,여,30,6,1,1,3,3,,3,7,3,4,50,50110,42,42150,30,30200,4,4,5,5,4,3,2,5,경기도,전북,2인 여행(가족 외),2023-08-19~2023-08-20,3,8,1,1
g012724,42,남,50,8,1,2,3,3,,6,10,2,2,42,42210,44,44770,50,50130,2,3,2,4,2,2,6,4,강원도,충북,자녀 동반 여행,2023-09-23~2023-09-23,8,3,2,2
g011669,30,여,40,6,1,1,1,3,,4,,3,8,50,50130,50,50110,26,26200,2,3,2,4,4,4,5,5,대전광역시,충남,2인 여행(가족 외),2023-09-17~2023-09-17,2,3,5,1
g004104,29,남,20,6,1,1,3,2,,4,5,2,3,26,26350,30,30200,11,11590,1,2,2,6,6,2,2,1,광주광역시,전북,3인 이상 여행(가족 외),2023-08-05~2023-08-06,3,4,2,5
g005762,41,여,20,6,2,1,2,12,,1,3,3,3,42,42210,26,26350,50,50130,5,5,1,3,3,5,2,4,경기도,대전,2인 가족 여행,2023-08-15~2023-08-15,2,3,1,1
g005170,41,여,20,6,1,1,3,13,,4,8,1,1,42,42830,42,42150,50,50110,4,2,4,2,5,3,5,7,경기도,전남,2인 가족 여행,2023-08-19~2023-08-20,5,3,2,1
g009372,41,여,20,5,2,1,3,12,,1,7,2,1,50,50130,26,26350,42,42150,5,1,3,5,4,6,6,5,경기도,대전,나홀로 여행,2023-09-02~2023-09-02,2,1,7,0
g002035,28,여,40,6,1,4,2,3,,4,4,3,3,42,42150,50,50130,26,26350,1,1,1,1,1,7,1,7,인천광역시,전남,2인 가족 여행,2023-06-18~2023-06-19,1,4,2,1
g007374,41,여,40,4,1,2,4,13,,3,6,2,1,42,42210,41,41830,43,43130,4,4,1,5,5,1,4,4,경기도,충남,자녀 동반 여행,2023-08-19~2023-08-19,2,6,3,3
g004259,36,여,40,6,1,2,3,3,,4,8,2,1,42,42210,43,43800,50,50130,1,1,1,4,4,1,1,6,세종특별자치시,대전,자녀 동반 여행,2023-07-16~2023-07-16,1,3,2,2
g013010,41,여,20,6,3,1,5,12,,1,4,2,1,26,26350,46,46130,30,30200,3,1,1,1,3,2,5,5,경기도,충남,나홀로 여행,2023-09-26~2023-09-26,4,7,1,0
g007227,41,남,30,6,1,1,1,3,,5,,2,1,27,27260,11,11680,43,43110,7,7,1,2,1,1,1,1,경기도,충북,나홀로 여행,2023-09-01~2023-09-03,2,1,4,0
g003758,44,남,50,7,5,2,2,2,,4,7,2,2,30,30230,44,44180,43,43730,1,4,2,5,5,5,6,6,충청남도,충남,2인 가족 여행,2023-07-15~2023-07-15,2,3,6,1
g001755,11,남,40,6,1,2,4,5,,5,8,2,3,42,42210,28,28710,41,41210,4,4,2,7,7,6,4,7,서울특별시,충북,자녀 동반 여행,2023-06-03~2023-06-04,3,1,5,3
g005913,41,남,50,7,1,2,5,3,,7,7,3,2,44,44810,46,46150,50,50110,1,1,1,1,1,1,7,1,경기도,충남,자녀 동반 여행,2023-08-27~2023-08-29,3,8,2,4
g004519,11,남,30,6,1,1,1,3,,9,,3,5,42,42210,11,11440,50,50130,4,3,3,2,6,5,2,4,서울특별시,전북,부모 동반 여행,2023-07-29~2023-07-30,2,4,1,2
g002235,30,남,30,6,1,1,3,3,,4,4,3,3,45,45110,44,44180,50,50110,7,4,1,4,7,7,2,2,대전광역시,전북,2인 가족 여행,2023-06-11~2023-06-12,7,1,3,1
g007410,29,남,30,6,1,1,1,3,,5,,1,1,46,46710,46,46130,26,26350,5,6,2,3,6,5,5,3,광주광역시,전남,2인 여행(가족 외),2023-08-20~2023-08-20,3,7,5,1
g012316,30,여,20,6,1,2,3,4,,4,5,2,1,50,50110,26,26350,28,28237,4,5,3,2,5,5,2,4,대전광역시,세종,자녀 동반 여행,2023-09-10~2023-09-10,3,8,6,2
g011519,47,여,50,5,1,1,3,5,,3,3,2,1,42,42150,44,44825,41,41820,7,4,6,4,4,5,7,2,경상북도,대전,2인 여행(가족 외),2023-09-08~2023-09-08,1,3,,1
g001046,11,여,50,6,1,2,4,2,,5,6,2,2,11,11680,48,48220,26,26710,6,3,2,1,2,2,3,2,서울특별시,대전,3인 이상 여행(가족 외),2023-05-28~2023-05-28,1,3,4,2
g001708,45,여,40,6,1,2,2,9,,4,6,2,1,26,26500,11,11710,46,46710,6,1,2,1,1,2,1,7,전라북도,대전,2인 가족 여행,2023-06-06~2023-06-06,5,2,7,1
g006227,45,여,30,6,1,2,3,11,,3,6,2,1,46,46130,11,11680,26,26440,4,4,4,4,4,4,1,4,전라북도,전남,자녀 동반 여행,2023-08-18~2023-08-20,3,2,6,2
